genus,color
g__Pelagibius,#cecece
g__Tistlia,#ecd1b5
f__Blattabacteriaceae,#ecd1b4
g__Pseudoclavibacter,#eccfb3
g__Lyngbya_PCC-7419,#eccdb2
g__Desulfobacter,#eccbb1
g__Symphothece_PCC-7002,#ecc9b0
g__Puniceicoccus,#ecc8b0
g__Alcanivorax,#ecc6af
g__Rubrobacter,#ecc4ae
g__Magnetovibrio,#ecc2ad
g__Halioglobus,#ecc1ad
g__Moorea,#ecbfac
g__Izemoplasmatales,#ecbdab
g__Candidatus_Tenderia,#ecbbaa
g__Draconibacterium,#ecbaaa
g__Phocoenobacter,#ecb8a9
g__Bacteroidetes_BD2-2,#edb6a8
f__Parvibaculaceae,#edb4a7
f__Magnetospiraceae,#edb3a7
f__Anaerovoracaceae,#edb1a6
g__Palleronia-Pseudomaribius,#edafa5
g__Arcobacter,#edada4
g__Paraclostridium,#edaca4
g__Clade_II,#edaaa3
g__Hyphomonas,#eda8a2
g__F9P41300-M23,#eda6a1
g__Candidatus_Amoebophilus,#eda5a1
g__Paludicola,#eda3a0
g__Aminicenantales,#eda19f
f__Spirochaetaceae,#ed9f9e
o__Micavibrionales,#ee9e9e
f__Amoebophilaceae,#eda0a0
g__Phormidesmis_ANT.LACV5.1,#eca2a3
g__Bradymonadales,#eba4a6
g__Winogradskyella,#eaa6a9
f__Kiloniellaceae,#e9a8ab
g__Anaerofustis,#e8aaae
g__Elizabethkingia,#e7acb1
g__Francisella,#e7aeb4
g__Stappia,#e6b0b6
g__Sphingorhabdus,#e5b2b9
g__Hafnia-Obesumbacterium,#e4b4bc
g__Magnetospira,#e3b6bf
g__Pelagibaca,#e2b8c1
g__Chthoniobacter,#e1bac4
g__Simkania,#c5ece6
g__Babeliaceae,#c6eae6
g__Sphingomonas,#c7e8e5
g__Clostridium_sensu_stricto_1,#c8e6e5
o__Cytophagales,#cae4e5
g__Alkanindiges,#cbe3e2
g__type_III,#cce1e2
g__Sericytochromatia,#cddfe2
g__Salipaludibacillus,#cfddee
g__Aquibacillus,#d0dcdd
g__Mesoflavibacter,#d1dadd
g__Flavobacterium,#d3d8dd
g__Roseibacterium,#d4d6de
g__Fulvivirga,#d5d5de
g__Enterococcus,#d6d3de
g__Roseburia,#d8d1de
g__Cellvibrionaceae,#d9cfdc
f__Ilumatobacteraceae,#dacedc
g__Haliangium,#dbccdb
g__Fimbriiglobus,#ddcadc
g__Bacteroidetes_VC2.1_Bac22,#dec8d7
g__Candidatus_Endoecteinascidia,#dfc7d7
f__Vibrionaceae,#e1c5d7
g__Marinicella,#e2c3d7
g__Stappiaceae,#e3c1d9
f__Comamonadaceae,#e4c0d9
g__Herbaspirillum,#e6bed8
g__Aerococcus,#e7bcd8
g__MBIC10086,#e8bad6
g__Candidatus_Saccharimonas,#eab9d8
g__Enterovibrio,#e8bad9
g__Verruc-01,#e6bcd4
g__Bauldia,#e4bed3
