ASV_ID,domain,phylum,class,order,family,genus,species
328fed7a2478f0a6d5a7f387c3fde21a,d__Bacteria,,,,,,
c0c5212d3f2c35bc60e51c9eb66f9eae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
ea8522df05926f41e570e15b3cb23e66,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,
2e1eaef6ba703de7aa783631543092fa,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Simkaniaceae,g__uncultured,s__jellyfish_metagenome
ea46508e33b2563bc58518039da921a9,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Breznakia,s__uncultured_bacterium
dd3b46a0e80db26e848504bb4bee8acc,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium,s__uncultured_bacterium
4e4454202e74324fb826461598abd928,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,,
f22cd4e508cc9a87fffe29ee8a217fc3,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,
01f02590f34757632b340ac2a2e50311,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
7ca410c2e807fbea696e80bff9ffc577,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
68f6f6dae2255e0ff4592c45521a8bf9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
d826f36cb364155124abf62968646151,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
369e91678d0652d97b8ac27f9ef68626,d__Bacteria,p__Bacteroidota,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Prosthecochloris,s__Prosthecochloris_vibrioformis
990814b1951efe5f6d6347e88e560e15,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter,
97a863f431ccf1341d7b19bf99aabaf1,Unassigned,,,,,,
9ef2d93d3bff6efacdfecb74f2132c7b,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
00aaf7e9670caebec124c0fec0278a19,Unassigned,,,,,,
4ea1619d620bc292d2319d11225ec6cc,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Synechococcus_CC9902,
a2baa73b223c06bf3e8b6ebe20fd2236,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,s__Endozoicomonas_acroporae
