ASV_ID,NURS2_S4,NURS4_S5,NURS5_S6,MARS2_S1,MARS4_S14,MARS5_S2,REBAR2_S12,REBAR4_S13,REBAR5_S16,Par1_T0_S15,Par2_T0_S9,Par3_T0_S11,Par1_6m_S7,Par2_6m_S8,Par3_6m_S10
asv1,0,0,0,0,0,0,0,0.000835,0,0,0,0,0,0,0
asv2,0,0,0,0,0,0,0,0.00054,0,0,0,0,0,0,0
asv3,0,0,0,0,0,0,0,0,0,0,0,0,0.0223024,0,0
asv4,0,0,0,0,0,0,0,0.000884,0,0,0,0,0,0,0
asv5,0,0,0,0,0,0,0,0.00187,0,0,0,0,0,0,0
asv6,0,0,0,0,0,0,0,0.000491,0,0,0,0,0.0209085,0,0
asv7,0,0,0,0,0,0,0,0,0,0,0.000767,0,0,0,0
asv8,0,0,0,0,0,0,0,0.000737,0,0,0,0,0,0,0
asv9,0,0,0,0,0,0,0,0,0,0,0,0,0.0167268,0,0
asv10,0,0,0,0,0,0,0,0,0,0,0.000639,0,0,0,0
asv11,0,0,0,0,0,0,0,0.000589,0,0,0,0,0,0,0
asv12,0.000879,0,0,0,0,0,0,0,0,0,0,0,0.0878159,0,0
asv13,0,0.00351,0,0,0,0,0,0.0112945,0,0,0.000639,0,0,0,0
asv14,0,0,0,0,0,0,0,0.00054,0,0,0,0,0,0,0
asv15,0,0,0,0,0,0,0,0.000491,0,0,0,0,0,0,0
asv16,0,0,0,0,0,0,0,0.00137,0,0,0,0,0,0,0
asv17,0,0,0,0,0.00264,0,0,0.00373,0,0,0,0,0,0,0
asv18,0,0,0,0,0.00508,0,0,0.00196,0,0,0,0,0,0,0
asv19,0,0,0,0,0,0,0,0.000737,0,0,0,0,0,0,0
asv20,0,0,0,0,0,0,0,0.00054,0,0,0.000426,0,0,0,0
asv21,0.00278,0.00185,0.00257,0.000525,0.00589,0.00709,0.00146,0.00246,0.000733,0,0.000469,0.00347,0.0306659,0.00231,0.000521
asv22,0,0,0,0,0,0,0,0.000835,0,0,0,0,0,0,0
asv23,0,0,0,0,0,0.00465,0,0,0,0,0,0,0,0,0
asv24,0.000732,0.000794,0,0,0,0,0,0.000589,0,0,0.000469,0.00105,0,0,0.000521
asv25,0,0,0,0,0,0,0,0.000786,0,0,0,0,0,0,0
asv26,0,0,0,0,0,0,0,0.000589,0,0,0,0,0,0,0
asv27,0,0,0,0,0,0,0,0.000835,0,0,0,0,0,0,0
asv28,0,0,0,0,0,0,0,0.00187,0,0,0,0,0,0,0
asv29,0,0,0.00161,0,0,0,0,0.000589,0,0,0.000554,0,0,0,0
asv30,0,0,0,0,0,0,0,0,0,0,0.00187,0,0,0,0
asv31,0,0.00192,0,0.000525,0,0,0.000823,0.00216,0,0,0.00145,0.00147,0,0,0
asv32,0,0.00106,0,0.000477,0,0,0,0.00177,0,0,0,0,0,0,0
asv33,0,0,0,0,0.00305,0,0,0,0,0,0,0,0,0,0
asv34,0,0,0,0,0,0,0,0.000491,0,0,0,0,0,0,0
asv35,0,0,0,0,0,0,0,0.000687,0,0,0,0,0,0,0
asv36,0,0,0,0,0,0,0,0.0110981,0,0,0,0,0,0,0
asv37,0,0,0,0,0,0,0,0.00211,0,0,0,0,0.0153329,0,0
asv38,0,0,0,0,0,0,0,0,0,0,0.0017,0,0,0,0
asv39,0,0,0,0,0,0,0,0.000737,0,0,0,0,0,0,0
asv40,0.00103,0.00126,0.00139,0.000811,0.00244,0.00318,0.000887,0.000884,0.00068,0.000877,0.000639,0.00126,0,0.00091,0.000805
asv41,0,0,0,0,0,0,0,0.000638,0,0,0,0,0,0,0
asv42,0,0,0,0,0,0,0,0.000687,0,0,0,0,0,0,0
asv43,0,0,0,0,0,0,0,0.000491,0,0,0,0,0,0,0
asv44,0,0,0,0,0,0,0,0.00398,0,0,0,0,0,0,0
asv45,0,0,0,0,0,0,0,0.000982,0,0,0,0,0,0,0
asv46,0,0,0,0,0.00203,0,0,0.000638,0,0,0,0,0,0,0
asv47,0,0,0,0,0,0,0,0.00118,0,0,0,0,0,0,0
