KEGG_ID,Name,Path
K00001,alcohol dehydrogenase [EC:1.1.1.1],Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450
K00002,alcohol dehydrogenase (NADP+) [EC:1.1.1.2],Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome
K00003,homoserine dehydrogenase [EC:1.1.1.3],"Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Lysine biosynthesis"
K00005,glycerol dehydrogenase [EC:1.1.1.6],Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism
K00006,glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8],Metabolism; Lipid metabolism; Glycerophospholipid metabolism | Environmental Information Processing; Signal transduction; MAPK signaling pathway - yeast
K00010,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis
K00011,aldehyde reductase [EC:1.1.1.21],Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis
K00012,UDPglucose 6-dehydrogenase [EC:1.1.1.22],Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism
K00013,histidinol dehydrogenase [EC:1.1.1.23],Metabolism; Amino acid metabolism; Histidine metabolism
K00014,shikimate dehydrogenase [EC:1.1.1.25],"Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
K00018,glycerate dehydrogenase [EC:1.1.1.29],"Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
K00019,3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Synthesis and degradation of ketone bodies
K00020,3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31],"Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"
K00024,malate dehydrogenase [EC:1.1.1.37],Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism
K00025,malate dehydrogenase [EC:1.1.1.37],Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Organismal Systems; Excretory system; Proximal tubule bicarbonate reclamation
K00026,malate dehydrogenase [EC:1.1.1.37],Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism
K00027,malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38],Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Environmental Information Processing; Signal transduction; Two-component system
K00029,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms
K00030,isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle)
K00031,isocitrate dehydrogenase [EC:1.1.1.42],Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Metabolism of other amino acids; Glutathione metabolism | Cellular Processes; Transport and catabolism; Peroxisome
K00033,6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Metabolism of other amino acids; Glutathione metabolism
K00034,glucose 1-dehydrogenase [EC:1.1.1.47],Metabolism; Carbohydrate metabolism; Pentose phosphate pathway
K00036,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Metabolism of other amino acids; Glutathione metabolism | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome
K00038,3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53],Metabolism; Lipid metabolism; Steroid hormone biosynthesis
K00040,fructuronate reductase [EC:1.1.1.57],Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions
K00041,tagaturonate reductase [EC:1.1.1.58],Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions
K00042,2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60],Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism
K00045,mannitol 2-dehydrogenase [EC:1.1.1.67],Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism
K00046,gluconate 5-dehydrogenase [EC:1.1.1.69],Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers
K00052,3-isopropylmalate dehydrogenase [EC:1.1.1.85],"Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis"
K00053,ketol-acid reductoisomerase [EC:1.1.1.86],"Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis"
K00057,glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94],Metabolism; Lipid metabolism; Glycerophospholipid metabolism
K00058,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399],"Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
K00059,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Metabolism; Lipid metabolism; Fatty acid biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism | Metabolism; Biosynthesis of other secondary metabolites; Prodigiosin biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins
K00060,threonine 3-dehydrogenase [EC:1.1.1.103],"Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
K00064,D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism
K00066,GDP-mannose 6-dehydrogenase [EC:1.1.1.132],Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Environmental Information Processing; Signal transduction; Two-component system
K00067,dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133],Metabolism; Metabolism of terpenoids and polyketides; Polyketide sugar unit biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis
K00068,sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140],Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism
K00075,UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins
K00076,7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159],Metabolism; Lipid metabolism; Secondary bile acid biosynthesis
K00077,2-dehydropantoate 2-reductase [EC:1.1.1.169],Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis
K00078,dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179],Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450
K00079,carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197],Metabolism; Lipid metabolism; Arachidonic acid metabolism | Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis
K00083,cinnamyl-alcohol dehydrogenase [EC:1.1.1.195],Metabolism; Biosynthesis of other secondary metabolites; Phenylpropanoid biosynthesis
K00086,"1,3-propanediol dehydrogenase [EC:1.1.1.202]",Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism
K00088,IMP dehydrogenase [EC:1.1.1.205],Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome
K00091,dihydroflavonol-4-reductase [EC:1.1.1.219],Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers
K00096,glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261],Metabolism; Lipid metabolism; Glycerophospholipid metabolism
K00097,4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262],Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism
K00099,1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267],Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis
K00101,L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3],Metabolism; Carbohydrate metabolism; Pyruvate metabolism
K00102,D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4],Metabolism; Carbohydrate metabolism; Pyruvate metabolism
K00103,L-gulonolactone oxidase [EC:1.1.3.8],Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism
K00104,glycolate oxidase [EC:1.1.3.15],Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism
K00106,xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2],Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Biosynthesis of other secondary metabolites; Caffeine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Cellular Processes; Transport and catabolism; Peroxisome | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome
K00107,"D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]",Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers
K00108,choline dehydrogenase [EC:1.1.99.1],"Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
K00111,glycerol-3-phosphate dehydrogenase [EC:1.1.5.3],Metabolism; Lipid metabolism; Glycerophospholipid metabolism
K00112,glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3],Metabolism; Lipid metabolism; Glycerophospholipid metabolism
K00113,glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3],Metabolism; Lipid metabolism; Glycerophospholipid metabolism
K00114,alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation
K00116,malate dehydrogenase (quinone) [EC:1.1.5.4],Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism
K00117,quinoprotein glucose dehydrogenase [EC:1.1.5.2],Metabolism; Carbohydrate metabolism; Pentose phosphate pathway
K00121,S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis
K00122,formate dehydrogenase [EC:1.17.1.9],Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism
K00123,formate dehydrogenase major subunit [EC:1.17.1.9],Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism
K00124,formate dehydrogenase iron-sulfur subunit,Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism
K00127,formate dehydrogenase subunit gamma,Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism
K00128,aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],"Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Amino acid metabolism; Histidine metabolism | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Metabolism; Metabolism of terpenoids and polyketides; Insect hormone biosynthesis | Metabolism; Metabolism of terpenoids and polyketides; Limonene and pinene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation"
K00130,betaine-aldehyde dehydrogenase [EC:1.2.1.8],"Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
K00131,glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9],Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway
K00133,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],"Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Lysine biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis"
