KEGG_ID,MARS2_S1,MARS4_S14,MARS5_S2,NURS2_S4,NURS4_S5,NURS5_S6,Par1_6m_S7,Par1_T0_S15,Par2_6m_S8,Par2_T0_S9,Par3_6m_S10,Par3_T0_S11,REBAR2_S12,REBAR4_S13,REBAR5_S16
K00001,0.023016315,5.23473635,0,0,0.069153397,0.326617507,7.215153493,1.12082492,0,0.125530673,0.054682945,0,0.182503892,0.867741154,0.127735326
K00002,1.853008422,0.55646106,0.325933782,0.649778885,0.234702438,0.319697645,0,2.219628404,0.753402333,1.40623609,0.807701088,1.310155107,1.462437026,1.451217871,0.905152726
K00003,0.548644721,0.314280333,0.593665103,0.095523972,0.247665654,0.438654908,0,0.876048878,0.258434521,0.567804118,0.546642504,0,0.352510748,0.133092994,0.599563874
K00005,0,0,0,0,0.121018445,0,0,0,0,0,0.047027333,0,0.036154948,0.046533617,0
K00006,0.945194498,0.203437377,0.446844701,0.962572876,0.080678963,0.722542459,2.502029034,1.400621132,0.32367042,1.163623216,0.73817709,0.769145784,0.290399275,0.391070393,1.026785579
K00010,1.542330395,1.55366876,3.976704037,0.630714904,0.332696755,1.800613181,0,2.07177949,1.65212053,1.520603516,1.491529395,1.881565825,1.182419582,0.862484457,1.256497152
K00011,5.817147345,1.088902218,2.488416598,2.235987418,0.728309671,2.929773532,0,7.903806601,4.460725432,5.081012021,2.960533928,2.139401993,2.345813401,2.681782016,5.841564579
K00012,10.65167166,1.882231921,5.200373637,5.260311,0.97930776,7.993702379,3.300548938,7.065438433,11.8452176,13.90096698,8.35589118,2.705470296,10.47887455,2.543432181,15.88629231
K00013,0.015142313,0.687988219,0,0,0.085111873,0.042674572,1.403853395,1.016562631,0.094710378,0,0.039394625,0,0,0.386729243,0.031478934
K00014,0.042622806,1.542364894,0,0.188851991,0.489905993,0.277384721,0,0.362334597,0.112476563,0.041483965,0.050926384,0,0.022751163,0.525998155,0.052614789
K00018,1.174862653,0.612107166,1.755028056,0.830179681,0.115599708,0.80531048,0.281025,1.670652387,0.887746543,0.900524774,0.809791359,0.333083447,0.809781659,0.308753854,1.813562888
K00019,0,0,0,0,0.057286838,0,0,0.028178177,0.098633294,0,0.028829016,0,0,0.087250531,0
K00020,0.434573782,0.366660388,0.193736863,0.727674456,0.113899713,0.16487903,0,0.875973751,0.201235734,0.330711327,0.211873525,0.279058308,0.570767805,0.474642888,0.577882097
K00024,0,0.051834729,0,0,0,0,0,0.352265808,0,0,0,0,0,0,0
K00025,1.962929886,1.613550966,0.554087429,1.346281001,0.505120465,0.473374698,0,0.977933683,0.947737299,2.164380765,1.308586659,0.430875983,1.146498809,0.697226094,2.291118905
K00026,1.004186722,0.04729919,0.427866741,1.004415513,0.194377116,1.092403148,0,1.130771732,0.611412173,0.687662117,0.51324554,0.149226161,0.468199603,0.340168522,0.718120769
K00027,0.026531775,1.759060788,0,0,0.07611971,0,0,0.44721587,0.054607786,0,0.014456049,0,0,0.039336775,0.164748097
K00029,2.472122736,0.817516866,4.414201825,1.7901595,0.854921365,3.429483823,0.37835561,2.712400276,1.968007865,1.688696104,2.291855019,1.93753952,3.077918239,1.137042295,1.066468113
K00030,1.160022283,0.731195209,0.531074213,0.997355724,0.375921702,0.829935085,0,2.373448717,1.094075821,0.490904235,0.481142514,0.296165331,1.246354131,0.361370458,0.898660596
K00031,0.969269955,1.816611852,0,1.502338783,1.532962312,1.973241095,3.061693423,1.239021973,1.507751151,0.845418467,1.577639244,1.644116213,0.826639727,1.471378035,0.781249897
K00033,0.346460377,1.387442909,0,0.620693544,0.521572452,0.246028187,0,0.30182399,0.740845627,0.943990663,0.493401527,0.229034522,0.746238136,3.204920912,0.491071364
K00034,0.009550338,0,0,0,0.044512531,0.039133114,0,0.174223604,0,0.009180407,0,0,0,0.211860368,0.051631335
K00036,0.38865269,1.496809813,2.153696721,0.384330368,0.238439738,0.823348299,1.923047109,0.207477902,0.401268634,0.381276568,0.349944168,0.024399985,0.529998676,0.442432464,0.941685144
K00038,0,0,0,0,0,0,0,0,0,0.010148982,0.018174815,0.157592561,0.033797017,0.080381956,0
K00040,0,0.723044944,0,0,0,0,4.011874141,0,0.169400677,0.007374927,0.01672083,0,0,0.039518995,0
K00041,0.028770394,0,0,0,0.048407378,0,0,0,0,0,0.031351555,0,0,0,0
K00042,0.382845638,1.072370302,0.246870637,0.444643599,0.015336991,0.102714738,0,0.50921592,0.360133291,0.19277037,0.315378022,0.291594878,0.788819048,0.227717698,0.433941774
K00045,0.006850094,0.532948621,0,0,0.067349395,0,0,0,0,0,0,0,0,0.420642861,0
K00046,0.493762166,0.127835649,0.374383398,0.370047821,0.065415375,0,0,0.643528628,0.628842783,0.351305647,0.26691189,0.638356355,0.701173925,0.050306612,0.721675822
K00052,0,0,0,0,0.137941868,0,0,0.190484474,0.091840367,0.021273828,0.048233162,0,0,0.226993251,0
K00053,0,2.051205961,0,0,0.132020121,0,0,0.351565304,0.124164072,0.02565192,0.045880325,0,0,0.235155302,0.007737469
K00057,0.662698857,2.204234101,0,0.366017597,0.052808049,0,0,0.938732521,0.326133129,0.476163768,0.471069056,1.120277555,0.319381811,0.458013278,0.408336514
K00058,0.234064222,0.389093595,1.346740279,0,0.435867261,0,0,1.210417451,0.319024433,0.303673467,0.348350615,0.424138004,0.343951943,0.477564916,0.153459801
K00059,1.6818926,3.378513577,2.409788523,0.72838369,0.972658962,0.58487321,0,4.839966539,1.457888985,2.364063857,1.164975828,0.631750215,1.576347995,1.824758033,1.253524271
K00060,1.925196453,0.603819448,4.267970738,0.714353184,0.418335364,1.529364408,0,1.971721855,1.280901318,1.405588825,1.289222838,1.780954062,1.482482012,0.496358576,2.553239287
K00064,0,1.307457287,0,0,0,0,0,0,0,0,0.010195628,0,0,0,0.044915064
K00066,0,0.380933075,0.392969808,0.110269283,0.05029338,0,0,0,0.036080144,0,0.017788117,0,0,0.13312299,0
K00067,0.025861028,0.889532689,0,0,0.137176221,0,0,1.145962744,0.1699837,0.008460719,0.023978245,0,0,0.228681206,0.155505932
K00068,0,0,0,0,0.135880359,0,0,0,0.194959376,0,0,0,0,0,0
K00075,0.019341441,0,0,0,0.015246418,0,3.910734456,1.610047339,0,0.017421088,0.024710586,0,0,0.145719949,0
K00076,0,1.161734493,0,0,0,0,0,0.041772911,0,0,0,0,0,0.010885056,0.016153663
K00077,1.28500982,0.972157267,2.651664666,0.861178426,0.499689062,1.482979091,0,2.855297938,1.276191673,1.09060317,1.598473486,0.269022568,1.249728926,1.049386892,1.184297547
K00078,2.242741155,0.928490502,1.949348098,1.599805887,0.272485027,1.189750364,1.320219575,2.822744337,1.646762402,1.792626192,1.454605214,0.915649743,2.784470658,0.899583773,1.884708859
K00079,1.08836839,0.399149283,0.429525139,0.732350454,0.142595377,1.681510479,0,1.938068776,0.764535458,2.362549305,0.836041477,0.699087932,0.949067397,3.337915231,1.006410789
K00083,0.428405866,0,1.516662671,0.17989186,0.197869574,0.860500047,0,0.851618542,0.486686908,0.298765293,0.329534597,0.031345966,0.323415251,0.144922212,0.241951219
K00086,0.015447191,0,0,0,0,0,0,0,0,0,0,0,0,0.058297148,0
K00088,4.05236804,12.58806648,5.621176817,4.176681159,2.322977,6.100103141,0,5.6402824,3.479729462,33.06477932,3.278970013,4.451676177,5.999917752,68.32797777,4.58377754
K00091,0,0,0,0,0.107571951,0,0,0,0,0.030728863,0,0,0,0,0
K00096,0,0,0,0,0,0,0,0,0,0,0,0,0.055523671,0.04431773,0
K00097,0.01315218,0.497886211,0,0,0.370095188,0,4.562523532,0.533181235,0.127002108,0.010845481,0.040716306,0.252611606,0.102131132,0.21211905,0.183134348
K00099,0.007215146,0.768497479,0,0,0.129584744,0,0,0.634691805,0.047796492,0.028486843,0.026308998,0,0,0.340360166,0.058153188
K00101,15.25191327,6.887202857,9.387974214,7.666077034,6.272375551,7.725499273,1.520841177,24.33206193,8.644061236,10.71714674,9.899664253,7.232669129,12.14242632,11.30049565,14.55002597
K00102,0,0.567185149,0,0.05532028,0.051520047,0,0,0.116504265,0,0.02759848,0,0,0,0.299856723,0
K00103,0,0,0,0,0,0,0,0.236858966,0,0,0,0,0,0,0
K00104,0.623093614,1.272733705,0.317225627,0.463130991,0.234932088,0.764682204,6.410157029,0.708863978,0.617371356,0.648064456,0.288335564,0.295034929,0.445037057,0.579616154,0.548238068
K00106,0.191802626,0,0,0,0.074472889,0.362733866,0,0.122105432,0.213705469,0.21273828,0.160777207,0.49550738,0.059794722,0.079544644,0.141655201
K00107,0,0,0,0.044166998,0.04684585,0,0,0,0,0,0.02022681,0,0,0.060043376,0
K00108,12.51171254,10.77341785,10.10807298,5.16450052,2.378738548,21.32125931,3.803434679,31.87072354,28.7254409,7.564936089,7.549920395,6.843149975,8.378669341,5.648907492,62.52382139
K00111,0.518385476,2.237475439,0.209881602,0.240531083,0.407746793,0.575943848,0,1.945405314,0.366115572,0.22988595,0.491789104,0.141729284,0.370999073,0.600135927,0.429091483
